id,calories,proteins,fat,carbohydrate,name,suitable for diabetes,glucose
42,245.0,33.1,11.4,0.3,Ayam goreng pasundan paha,1,2.97
43,295.0,37.4,14.7,0.6,Ayam goreng pioneer dada,1,5.94
44,244.0,36.7,9.2,1.0,Ayam goreng sukabumi dada,1,9.9
45,283.0,35.7,14.3,0.5,Ayam goreng sukabumi paha,1,4.95
46,261.0,27.4,16.1,1.6,Ayam hati segar,1,15.840000000000002
47,264.0,18.2,20.1,2.7,Ayam taliwang masakan,1,26.730000000000004
48,473.0,45.2,26.3,13.9,Ayam usus goreng,1,137.61
49,113.0,17.6,4.2,0.0,Babat,1,0.0
50,453.0,11.9,45.0,0.0,Babi daging gemuk segar,1,0.0
51,371.0,14.1,35.0,0.0,Babi daging kurus segar,1,0.0
52,110.0,16.3,4.6,0.8,Babi ginjal segar,1,7.920000000000001
53,129.0,19.7,4.8,1.7,Babi hati segar,1,16.830000000000002
54,491.0,24.6,16.3,0.2,Babi hutan masak rica masakan,1,1.9800000000000002
55,102.9,3.3,2.7,16.3,Bacang,1,161.37000000000003
56,450.0,3.2,13.9,78.1,Bagea kelapa asin,0,773.1899999999999
57,452.0,1.3,13.8,80.6,Bagea kelapa manis,0,797.9399999999999
58,529.0,3.2,29.1,63.6,Bagea kenari asin,0,629.6400000000001
59,523.0,3.2,28.2,64.2,Bagea kenari manis,0,635.58
60,416.0,6.5,9.4,76.3,Bagea kw 1,0,755.3700000000001
61,382.0,0.3,3.5,87.2,Bagea kw 2,0,863.2800000000002
62,129.0,1.9,6.6,15.6,Baje,1,154.44
63,272.0,8.7,6.7,44.1,Bakpia kue,1,436.59000000000003
64,76.0,4.1,2.5,9.2,Bakso ,1,91.08
65,27.0,2.0,0.2,4.2,Bakung segar,1,41.58000000000001
66,280.0,8.2,10.2,39.0,Bakwan,1,386.1
67,13.0,0.4,0.2,3.0,Baligo,1,29.700000000000003
68,190.0,3.3,0.3,43.5,Bantal,1,430.65000000000003
69,159.0,3.1,5.8,23.5,Barongko,1,232.65
70,137.0,4.3,4.8,19.1,Batang Tading,1,189.09
71,107.0,2.2,2.2,19.6,Batar daan,1,194.04000000000002
72,76.0,1.1,0.9,16.0,Batatas gembili segar,1,158.4
73,110.0,1.4,1.1,23.4,Batatas kelapa ubi bakar,1,231.66000000000003
74,92.0,1.2,0.3,21.0,Batatas kelapa ubi kukus,1,207.9
75,89.0,1.1,0.1,21.0,Batatas kelapa ubi segar,1,207.9
76,182.0,2.4,0.4,42.2,Batatas tali ubi rebus,1,417.7800000000001
77,45.0,1.4,0.2,10.3,Bawang Bombay,1,101.97000000000001
78,39.0,1.5,0.3,0.2,Bawang Merah,1,1.9800000000000002
79,95.0,4.5,0.2,23.1,Bawang Putih,1,228.69000000000003
80,30.0,1.3,0.7,5.8,Bayam kukus,1,57.42
81,51.0,4.6,0.5,10.0,Bayam Merah,1,99.0
82,41.0,2.2,0.8,6.3,Bayam merah segar,1,62.370000000000005
83,23.0,1.2,0.6,3.7,Bayam rebus,1,36.63
84,36.0,3.5,0.5,6.5,Bayam segar,1,64.35000000000001
85,102.0,3.7,6.7,6.9,Bayam tumis + oncom,1,68.31
86,48.0,1.4,4.2,2.6,Bayam tumis bersantan,1,25.740000000000002
87,326.0,16.0,28.6,0.0,Bebek (itik),1,0.0
88,303.0,11.3,27.0,3.7,Bebek alabio daging segar,1,36.63
89,300.0,24.0,20.7,4.5,Bebek daging goreng,1,44.550000000000004
90,65.0,1.1,5.2,3.5,Beberuk,1,34.650000000000006
91,258.0,10.6,9.5,32.5,Beef burger,1,321.75
92,151.0,8.6,3.1,22.3,Beef teriyaki masakan,1,220.77
93,132.0,9.8,1.1,20.7,Beef yakiniku masakan,1,204.93
94,116.0,11.9,4.9,6.1,Bekasam,1,60.39
95,78.0,11.4,2.0,3.6,Bekasang,1,35.64
96,131.0,20.2,4.3,2.8,Belibis daging segar,1,27.72
97,36.0,0.4,0.4,8.8,Belimbing,1,87.12000000000002
98,145.0,1.2,0.4,34.2,Belitung talas kukus,1,338.58000000000004
99,417.0,25.9,19.4,32.0,Belut goreng,1,316.8
100,70.0,14.6,0.8,1.0,Belut segar,1,9.9
101,93.0,12.8,1.5,6.1,Belutlaut segar,1,60.39
102,55.0,1.4,0.2,12.8,Bengkuang,1,126.72000000000001
103,98.0,1.6,0.7,20.9,Bentul (Komba)  talas segar,1,206.91000000000003
104,71.0,2.3,0.3,15.4,Bentul talas kukus,1,152.46
105,350.0,2.7,1.1,82.3,Beras Cerdas,0,814.77
106,364.0,3.4,0.7,86.3,Beras ganyong,0,854.3700000000001
107,360.0,6.8,0.7,78.9,Beras Giling,0,781.11
108,178.0,2.1,0.1,40.6,Beras Giling masak (nasi) ,1,401.94000000000005
109,357.0,8.4,1.7,77.1,Beras giling mentah,0,763.29
110,369.0,9.5,1.4,77.1,Beras giling var pelita mentah,0,763.29
111,357.0,8.4,1.7,77.1,Beras giling var rojolele mentah,0,763.29
112,351.0,8.0,1.3,76.9,Beras hitam mentah,0,761.3100000000002
113,358.0,5.5,0.1,82.7,Beras jagung kuning kering mentah,0,818.7300000000001
114,307.0,4.8,0.1,71.8,Beras jagung putih kering mentah,0,710.82
115,356.0,7.0,0.7,78.0,Beras Ketan Hitam,0,772.2
116,181.0,4.0,1.2,37.3,Beras Ketan Hitam kukus,1,369.27
117,166.0,3.8,1.0,34.4,Beras Ketan Hitam tape,1,340.56000000000006
118,360.0,8.0,2.3,74.5,Beras Ketan Hitam tumbuk,0,737.5500000000001
119,360.0,8.0,2.3,74.5,Beras ketan hitam tumbuk mentah,0,737.5500000000001
120,362.0,6.7,0.7,79.4,Beras Ketan Putih,0,786.0600000000002
121,163.0,3.0,0.4,35.7,Beras Ketan Putih kukus,1,353.43
122,172.0,3.0,0.5,37.5,Beras Ketan Putih tape,1,371.25
123,361.0,7.4,0.8,78.4,Beras Ketan Putih tumbuk,0,776.1600000000001
124,361.0,7.4,0.8,78.4,Beras ketan putih tumbuk mentah,0,776.1600000000001
125,376.0,7.5,3.8,78.0,Beras ladang mentah,0,772.2
126,339.0,7.7,4.4,73.0,Beras Menir,0,722.7
127,362.0,7.7,4.4,73.0,Beras menir mentah,0,722.7
128,359.0,7.5,0.9,77.6,Beras Merah tumbuk,0,768.24
129,364.0,6.8,0.6,80.1,Beras Parboiled,0,792.99
130,353.0,6.8,0.6,80.0,Beras parboiled,0,792.0
131,335.0,7.4,1.9,76.2,Beras Pecah Kulit,0,754.3800000000001
132,363.0,7.6,1.1,78.3,Beras Setengah Giling,0,775.1700000000001
133,344.0,1.1,0.2,28.3,Beras Siger,1,280.17
134,354.0,7.8,0.4,79.9,Beras tumbuk mentah,0,791.0100000000001
135,352.0,7.3,0.9,76.2,Beras tumbuk merah mentah,0,754.3800000000001
136,145.0,16.3,7.0,4.1,Betok wadi masakan,1,40.589999999999996
137,360.0,4.7,0.1,82.1,Bihun,0,812.79
138,154.0,3.0,4.5,25.5,Bihun Goreng ,1,252.45000000000002
139,381.0,6.1,3.9,80.3,Bihun goreng instan,0,794.97
140,354.0,0.5,0.3,87.4,Bihun Jagung mentah,0,865.2600000000001
141,348.0,4.7,0.1,82.1,Bihun mentah,0,812.79
142,562.0,21.2,49.6,23.6,Biji Jambu Mete,1,233.64000000000004
143,629.0,21.5,56.6,19.8,Biji Jambu Mete goreng,1,196.02
144,262.0,2.3,5.4,51.1,Biji nangka/Biji salak,0,505.8900000000001
145,199.0,2.1,1.5,44.4,Bika ambon,1,439.56000000000006
146,225.7,3.0,0.3,52.9,Bika Ambon ,0,523.71
147,48.0,0.6,0.0,4.4,Bir (4% alkohol),1,43.56000000000001
148,458.0,6.9,14.4,75.1,Biskuit,0,743.49
149,42.0,1.6,0.1,9.6,Bit,1,95.04
150,51.0,0.3,0.1,12.1,Biwah segar,1,119.79
151,43.0,2.6,0.0,11.6,Bonggol Pisang,1,114.84
152,245.0,3.4,0.0,66.2,Bonggol Pisang kering,0,655.3800000000001
153,119.0,4.4,3.5,18.3,Bongkrek (tempe bungkil),1,181.17000000000002
154,23.0,1.0,0.8,7.2,Boros Kunci,1,71.28
155,22.0,1.0,0.3,4.7,Boros Laja (lengkuas),1,46.53000000000001
156,186.0,11.7,9.7,13.0,Botok lamtoro,1,128.70000000000002
157,249.0,3.4,0.4,58.0,Brem,0,574.2
158,400.0,4.0,0.7,95.3,Brondong ,0,943.47
159,141.0,15.3,3.3,12.6,Brongkos,1,124.74000000000001
160,23.0,0.8,0.2,5.2,Buah Atung,1,51.480000000000004
161,110.0,1.4,2.1,21.4,Buah kelenting segar,1,211.85999999999999
162,38.0,1.5,0.2,7.5,Buah kelor,1,74.25
163,264.0,4.0,1.1,59.6,Buah kom segar,0,590.04
164,39.0,0.7,0.2,9.7,Buah Mentega (bisbul),1,96.03
165,87.0,2.6,2.7,13.1,Buah merah,1,129.69
166,71.0,1.7,3.1,9.1,Buah Naga Merah segar,1,90.09
167,56.0,0.8,1.0,10.9,Buah Naga Putih segar,1,107.91000000000003
168,55.0,1.2,0.1,12.2,Buah negri segar,1,120.78
169,101.0,1.7,0.6,25.2,Buah Nona,1,249.48000000000002
170,78.0,0.6,0.3,18.2,Buah rotan segar,1,180.18
171,113.0,0.8,0.3,26.8,Buah rukam segar,1,265.32000000000005
172,29.0,2.1,0.7,3.6,Buah ruruhi segar,1,35.64
173,67.0,0.4,0.2,15.9,Buah tuppa segar,1,157.41000000000003
174,365.0,49.6,4.8,30.8,Buaya daging dendeng mentah,1,304.92
175,60.0,1.0,60.0,13.0,Bubur ,1,128.70000000000002
176,167.0,0.2,4.0,33.0,Bubur sagu,1,326.70000000000005
177,156.0,2.3,0.2,15.6,Bubur tinotuan (Manado),1,154.44
178,72.0,11.4,4.9,1.4,Bulgogi masakan,1,13.86
179,212.0,16.9,0.2,47.6,Bulung Jajan,1,471.24000000000007
180,237.0,14.7,0.2,56.0,Bulung Sangu,0,554.4000000000001
181,35.0,2.4,0.2,7.7,Buncis,1,76.23
182,60.0,5.1,0.5,8.5,Buncis asam,1,84.15
183,30.0,2.2,0.2,6.4,Buncis rebus,1,63.36000000000001
184,45.0,2.6,0.3,8.1,Bunga pepaya segar,1,80.19
185,42.0,2.0,1.1,6.1,Bunga turi segar,1,60.39
186,333.0,29.3,3.3,50.0,Bungkil Biji Karet,1,495.00000000000006
187,336.0,37.4,13.0,30.5,Bungkil Kacang Tanah,1,301.95000000000005
188,368.0,23.0,15.0,40.0,Bungkil Kelapa,1,396.0
189,106.0,4.4,6.3,7.9,Buntil ,1,78.21000000000001
190,141.0,4.4,10.2,8.0,Buntil daun talas,1,79.2
191,125.7,3.3,1.9,23.9,Buras ,1,236.60999999999999
192,281.0,37.5,0.3,32.1,Burung sarang segar,1,317.79
193,38.0,1.6,0.8,6.3,Cabai gembor merah segar,1,62.370000000000005
194,26.0,0.7,0.3,5.2,Cabai hijau segar,1,51.480000000000004
195,367.0,15.9,6.2,61.8,Cabai merah kering,0,611.82
196,36.0,1.0,0.3,7.3,Cabai merah segar,1,72.27000000000001
197,120.0,4.7,2.4,19.9,Cabai rawit segar,1,197.01
198,20.0,1.7,0.4,3.4,Caisin segar,1,33.660000000000004
199,155.0,20.1,3.8,10.2,Cakalang asar (asap papua),1,100.98
200,323.0,4.9,11.5,50.1,Cake tape,0,495.99000000000007
201,102.0,3.2,6.0,8.7,Cammetutu,1,86.13
202,366.0,11.0,3.3,73.0,Cantel mentah,0,722.7
203,97.0,5.8,6.3,4.2,Cap cai sayur,1,41.58000000000001
204,24.0,1.9,0.2,3.7,Carica papaya segar,1,36.63
205,460.0,0.8,18.7,17.2,Cassavastick,1,170.28000000000003
206,116.0,3.0,0.4,28.6,Cempedak,1,283.14000000000004
207,330.0,5.2,8.9,57.4,Cengkeh kering,0,568.26
208,332.0,11.0,3.3,73.0,Centel,0,722.7
209,462.0,1.2,20.7,67.7,Ceriping getuk singkong,0,670.2300000000001
210,168.0,13.0,9.6,7.5,Chicken teriyaki masakan,1,74.25
211,143.0,9.8,1.4,22.8,Chikiniku masakan,1,225.72000000000003
212,311.0,8.0,4.0,48.9,Coklat bubuk,1,484.11000000000007
213,472.0,2.0,29.8,62.7,Coklat Manis batang,0,620.7300000000001
214,504.0,5.5,52.9,29.2,Coklat Pahit batang,1,289.08000000000004
215,381.0,9.0,35.0,53.6,Coklat Susu batang,0,530.6400000000001
216,210.0,1.6,6.6,35.8,Combro ,1,354.42
217,241.0,16.0,25.0,0.0,Corned Beef,1,0.0
218,96.0,6.8,5.9,3.8,Coto mangkasara kuda masakan,1,37.62
219,84.0,6.0,6.0,1.4,Coto mangkasara sapi masakan,1,13.86
220,145.0,27.0,2.3,0.0,Cue Selar Kuning,1,0.0
221,12.0,0.1,0.1,5.0,Cuka,1,49.5
222,265.0,40.6,10.1,0.0,Cumi-cumi goreng,1,0.0
223,75.0,16.1,0.7,0.1,Cumi-cumi segar,1,0.9900000000000001
224,190.0,19.1,12.0,0.0,Daging Anak Sapi,1,0.0
225,191.0,32.0,6.0,0.0,Daging Asap,1,0.0
226,457.0,11.6,45.0,0.0,Daging Babi Gemuk,1,0.0
227,376.0,14.1,35.0,0.0,Daging Babi Kurus,1,0.0
228,206.0,17.1,14.8,0.0,Daging Domba,1,0.0
229,154.0,16.6,9.2,0.0,Daging Kambing,1,0.0
230,84.0,18.7,0.5,0.0,Daging Kerbau,1,0.0
231,118.0,18.1,4.1,0.9,Daging Kuda,1,8.91
232,207.0,18.8,14.0,0.0,Daging Sapi,1,0.0
233,27.0,1.3,0.6,4.0,Daun bangun-bangun segar,1,39.6
234,29.0,1.8,0.7,5.2,Daun Bawang,1,51.480000000000004
235,41.0,2.0,0.3,7.8,Daun bawang  merah segar,1,77.22
236,41.0,2.7,1.0,7.3,Daun bebuas segar,1,72.27000000000001
237,50.0,4.4,1.4,7.8,Daun belem segar,1,77.22
238,42.0,1.8,0.5,9.4,Daun Beluntas,1,93.06000000000002
239,122.0,6.0,1.0,26.0,Daun Cincau,1,257.40000000000003
240,60.0,3.1,0.3,14.0,Daun Gandaria,1,138.60000000000002
241,58.0,2.9,0.7,10.0,Daun gedi besar segar,1,99.0
242,30.0,1.3,0.7,5.8,Daun gelang segar,1,57.42
243,50.0,4.6,0.9,7.0,Daun gunda bali segar,1,69.30000000000001
244,62.0,4.2,0.9,9.2,Daun gunda serang segar,1,91.08
245,73.0,4.6,0.5,16.2,Daun Jambu Mete muda,1,160.38
246,34.0,3.8,0.5,5.3,Daun jampang segar,1,52.47
247,93.0,5.0,1.3,15.3,Daun jawaw seluang segar,1,151.47000000000003
248,27.0,2.1,0.7,4.4,Daun jonghe segar,1,43.56000000000001
249,36.0,2.9,0.6,6.8,Daun kacang ma segar,1,67.32000000000001
250,34.0,4.1,0.4,5.8,Daun Kacang Panjang,1,57.42
251,40.0,3.7,0.3,8.0,Daun Kacang Panjang kukus,1,79.2
252,30.0,3.1,0.3,5.8,Daun kacang panjang segar,1,57.42
253,92.0,4.0,3.6,10.9,Daun kasbi/singkong karet segar,1,107.91000000000003
254,59.0,4.8,1.0,11.0,Daun Katuk,1,108.9
255,53.0,5.3,0.9,9.1,Daun katuk rebus,1,90.09
256,59.0,6.4,1.0,9.9,Daun katuk segar,1,98.01
257,47.0,5.0,0.5,8.5,Daun Kecipir,1,84.15
258,59.0,2.8,0.3,13.4,Daun Kedondong,1,132.66000000000003
259,82.0,6.7,1.7,14.3,Daun Kelor,1,141.57000000000002
260,61.0,6.1,0.9,10.0,Daun Kelor rebus,1,99.0
261,46.0,4.0,0.5,8.9,Daun Kemangi,1,88.11000000000001
262,45.0,3.7,0.5,6.6,Daun kenikir segar,1,65.34
263,48.0,4.5,0.8,9.1,Daun kesum segar,1,90.09
264,22.0,2.1,0.5,3.6,Daun kol sawi segar,1,35.64
265,23.0,3.0,0.3,3.7,Daun Koro,1,36.63
266,51.0,2.5,1.1,8.0,Daun kubis segar,1,79.2
267,14.0,1.3,0.3,2.3,Daun Kumak,1,22.77
268,60.0,4.0,0.4,4.7,Daun Labu Siam,1,46.53000000000001
269,30.0,3.6,0.6,4.5,Daun Labu Waluh,1,44.550000000000004
270,87.0,8.3,1.8,14.4,Daun lamtoro segar,1,142.56
271,76.0,2.8,0.2,15.8,Daun leilem segar,1,156.42000000000002
272,45.0,4.7,0.5,8.1,Daun Leunca,1,80.19
273,30.0,2.3,0.4,5.8,Daun Lobak,1,57.42
274,40.0,3.0,0.8,7.4,Daun Lompong Tales,1,73.26
275,54.0,3.7,0.3,11.8,Daun Mangkokan,1,116.82000000000002
276,71.0,6.8,1.6,11.5,Daun matel ambon segar,1,113.85000000000001
277,99.0,5.0,1.3,21.3,Daun Melinjo,1,210.87000000000003
278,63.0,3.8,1.5,11.5,Daun Mengkudu Kukus,1,113.85000000000001
279,166.0,1.7,0.5,38.8,Daun ndusuk segar,1,384.12
280,22.0,1.0,0.1,5.3,Daun Oyong,1,52.47
281,22.0,1.0,0.1,5.3,Daun oyong segar,1,52.47
282,35.0,4.0,0.3,6.4,Daun Pakis,1,63.36000000000001
283,54.0,2.2,3.6,3.1,Daun pakis longgiho segar,1,30.690000000000005
284,39.0,4.5,0.4,6.9,Daun pakis segar,1,68.31
285,53.0,3.4,1.2,7.2,Daun pakis wambateu segar,1,71.28
286,29.0,3.4,0.1,6.5,Daun paku segar,1,64.35000000000001
287,104.0,3.9,0.6,17.9,Daun pangisegar,1,177.21
288,49.0,2.7,1.0,8.4,Daun pare segar,1,83.16000000000003
289,87.0,8.0,2.0,11.9,Daun pepaya segar,1,117.81000000000002
290,128.0,12.0,6.5,12.4,Daun Pete Cina,1,122.76000000000002
291,37.0,2.5,0.8,6.9,Daun Poh-pohan,1,68.31
292,301.0,14.2,10.9,49.0,Daun salam  bubuk,1,485.1
293,62.0,4.0,0.5,10.5,Daun selasih segar,1,103.95
294,45.0,4.4,8.0,0.5,Daun Semanggi,1,4.95
295,45.0,4.4,0.5,8.5,Daun semanggi segar,1,84.15
296,53.0,3.2,2.5,7.6,Daun simpur segar,1,75.24
297,68.0,2.0,1.0,15.2,Daun singkil segar,1,150.48
298,73.0,6.8,1.2,13.0,Daun Singkong,1,128.70000000000002
299,144.0,12.7,1.2,25.2,Daun singkong ambon segar,1,249.48000000000002
300,50.0,6.2,1.1,7.1,Daun singkong ampenan segar,1,70.29
301,74.0,6.3,0.7,10.7,Daun singkong kopang segar,1,105.92999999999999
302,55.0,4.0,0.5,8.5,Daun Singkong lodeh,1,84.15
303,31.0,3.7,0.6,4.8,Daun Singkong rebus,1,47.52
304,50.0,6.2,1.1,7.1,Daun singkong segar,1,70.29
305,36.0,2.6,0.9,6.1,Daun Sintrong,1,60.39
306,27.0,1.3,0.2,5.9,Daun talas rebus,1,58.41000000000001
307,59.0,3.0,0.4,13.5,Daun talas segar,1,133.65
308,71.0,4.1,2.1,12.3,Daun Tales,1,121.77000000000001
309,27.0,1.3,0.2,5.9,Daun Tales rebus,1,58.41000000000001
310,70.0,2.9,0.3,13.9,Daun tespong segar,1,137.61
311,47.0,2.8,0.4,10.4,Daun Ubi Jalar,1,102.96000000000001
312,56.0,3.1,0.3,13.0,Daun Ubi Jalar kukus,1,128.70000000000002
313,62.0,3.7,0.3,11.1,Daun ubi kuning segar,1,109.89000000000001
314,56.0,3.1,0.3,13.0,Daun ubi merah kukus,1,128.70000000000002
315,48.0,3.0,0.3,10.8,Daun ubi merah segar,1,106.92000000000002
316,46.0,2.8,0.2,8.2,Daun ubi putih segar,1,81.17999999999999
317,55.0,1.7,0.1,11.9,Daun ubi tinta segar,1,117.81000000000002
318,260.0,2.0,15.0,53.0,Deblo ,0,524.7
319,382.0,55.7,14.1,8.0,Dendeng belut goreng,1,79.2
320,433.0,55.0,9.0,0.0,Dendeng Daging Sapi,1,0.0
321,598.0,74.3,26.9,9.2,Dendeng mujahir goreng,1,91.08
322,77.0,13.8,1.9,0.7,Dideh darah ayam,1,6.93
323,104.0,21.9,1.1,0.0,Dideh darah sapi,1,0.0
324,248.0,10.0,2.3,40.9,Djibokum masakan,1,404.91
325,395.0,3.0,5.7,81.2,Dodol,0,803.8800000000001
326,298.0,3.7,2.1,65.9,Dodol bali,0,652.4100000000001
327,368.0,2.6,8.6,70.0,Dodol banjarmasin,0,693.0
328,348.0,0.4,3.8,76.1,Dodol galamai,0,753.39
329,331.0,1.9,7.6,63.8,Dodol kedondong,0,631.6200000000001
330,373.0,4.3,16.5,51.9,Dodol manado,0,513.8100000000001
331,17.5,3.3,2.3,39.5,Dodonkol ,1,391.05
332,317.0,15.7,27.7,0.0,Domba daging gemuk segar,1,0.0
333,202.0,17.1,14.8,0.0,Domba daging kurus  segar,1,0.0
334,100.0,16.6,3.3,1.0,Domba ginjal segar,1,9.9
335,63.0,1.0,0.2,16.1,Duku,1,159.39000000000004
336,134.0,2.5,3.0,28.0,Durian,1,277.20000000000005
337,80.0,0.5,0.6,18.2,Duwet segar,1,180.18
338,18.0,1.0,0.2,3.8,Eceng Gondok,1,37.62
339,98.0,1.4,0.2,25.4,Embacang,1,251.46
340,248.0,36.2,6.9,10.1,Empal (daging) Goreng masakan,1,99.99000000000001
341,590.0,18.5,57.0,0.0,Empal Goreng,1,0.0
342,345.0,12.0,1.5,71.5,Emping (kerupuk melinjo),0,707.85
343,403.0,10.6,2.2,85.3,Emping beras,0,844.47
344,355.0,17.8,4.6,60.7,Emping komak,0,600.9300000000001
345,122.0,3.5,4.5,17.5,Encung asam segar,1,173.25
346,538.0,13.6,30.3,52.6,Enting-enting gepuk hello kity,0,520.74
347,524.0,13.3,29.2,52.0,Enting-enting gepuk kacang tanah,0,514.8000000000001
348,565.0,18.2,38.4,36.8,Enting-enting wijen,1,364.32
349,70.0,0.6,0.0,18.9,Erbis,1,187.10999999999999
350,210.0,4.0,12.5,20.6,Es krim,1,203.94000000000003
351,156.7,3.0,1.7,32.7,Es Krim (Coconut milk) ,1,323.7300000000001
352,152.0,0.0,0.0,37.6,Es Mambo ,1,372.24000000000007
353,44.8,0.0,0.0,11.3,Es Sirup ,1,111.87000000000002
354,270.0,12.3,15.9,19.3,Fillet o-fish,1,191.07000000000005
355,322.0,2.4,0.6,76.6,Gadeng/Gadung kering,0,758.34
356,137.0,6.1,3.2,21.0,Gado-gado,1,207.9
357,88.0,0.8,0.3,20.9,Gadung kukus,1,206.91000000000003
358,101.0,2.1,0.2,23.2,Gadung mentah,1,229.68
359,88.0,0.6,0.3,20.9,Gadung ubi kukus,1,206.91000000000003
360,100.0,0.9,0.3,23.5,Gadung ubi segar,1,232.65
361,18.0,0.8,0.2,4.1,Gambas (Oyong),1,40.589999999999996
362,13.0,0.3,0.6,1.6,Gambas lodeh,1,15.840000000000002
363,68.0,0.7,0.1,18.0,Gandaria,1,178.20000000000002
364,100.0,0.8,0.2,23.8,Ganyong kukus,1,235.62000000000003
365,95.0,1.0,0.1,22.6,Ganyong mentah,1,223.74000000000004
366,100.0,0.8,0.2,23.8,Ganyong rebus,1,235.62000000000003
367,77.0,0.6,0.2,18.4,Ganyong segar,1,182.16
368,338.0,1.5,0.7,81.3,Gaplek,0,804.8700000000001
369,191.0,4.5,1.5,39.7,Gatep segar,1,393.0300000000001
370,347.0,1.3,0.7,83.8,Gatot,0,829.6200000000001
371,195.0,0.4,1.7,44.4,Geblek,1,439.56000000000006
372,389.0,0.0,0.0,91.0,Gelatine,0,900.9000000000001
373,95.0,1.5,0.1,22.4,Gembili,1,221.76
374,131.0,1.1,0.2,31.3,Gembili ubi segar,1,309.87000000000006
375,274.0,1.7,5.4,55.5,Gemblong,0,549.45
376,407.0,6.4,28.2,32.0,Gendar goreng,1,316.8
377,35.0,1.7,0.2,7.7,Genjer segar,1,76.23
378,350.0,1.4,14.4,53.6,Geplak,0,530.6400000000001
379,462.0,3.1,24.4,57.7,Geplak jahe,0,571.23
380,75.0,8.2,2.0,6.0,Gete kuah asam masakan,1,59.400000000000006
381,360.0,1.3,6.4,74.3,Getuk goreng,0,735.57
382,171.4,4.0,4.0,32.0,Getuk Lindri ,1,316.8
383,144.0,1.1,0.4,34.1,Getuk pisang,1,337.59000000000003
384,204.0,0.5,1.4,47.4,Getuk singkong,1,469.26
385,114.0,16.3,4.6,0.8,Ginjal Babi,1,7.920000000000001
386,105.0,16.6,3.3,1.0,Ginjal Domba,1,9.9
387,141.0,15.0,8.1,0.9,Ginjal Sapi,1,8.91
388,53.0,1.6,1.6,8.8,Gudeg ,1,87.12000000000002
389,160.0,3.3,9.2,16.0,Gudeg sayur,1,158.4
390,368.0,0.0,0.0,95.0,Gula Aren,0,940.5000000000001
391,386.0,3.0,10.0,76.0,Gula Kelapa,0,752.4000000000001
392,356.0,0.4,0.5,90.6,Gula Merah Tebu belum dimurnikan,0,896.9399999999999
